"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","HTTP Code","Execution Date"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_29_41"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_29_41"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_29_41"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_29_53"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_29_53"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_29_53"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_29_53"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_29_53"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_29_53"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_30_09"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_30_09"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_30_09"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_30_09"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_30_09"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_30_09"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_30_27"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_30_27"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_30_27"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_30_27"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_30_27"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_30_27"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_32_58"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_32_58"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_32_58"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_32_58"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_32_58"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_32_58"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_34_39"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_34_39"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_34_39"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_34_39"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_34_39"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_34_39"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_14"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_14"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_14"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_14"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_14"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_14"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_27"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_27"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_27"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_27"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_27"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_27"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_54"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_54"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_54"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_54"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_54"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_35_54"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_37_12"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_37_12"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_37_12"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_37_12"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_37_12"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_37_12"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_37_25"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_37_25"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_37_25"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_37_25"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_37_25"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_37_25"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_38_34"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_38_34"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_38_34"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_38_34"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_38_34"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_38_34"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_39_01"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_39_01"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_39_01"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_39_01"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_39_01"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_39_01"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_41_33"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_41_33"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_41_33"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_41_33"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_41_33"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_41_33"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_41_55"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_41_55"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_41_55"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_41_55"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_41_55"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_41_55"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_14"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_14"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_14"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_14"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_14"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_14"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_32"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_32"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_32"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_32"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_32"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_32"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_49"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_49"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_49"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_49"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_49"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_42_49"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_43_18"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_43_18"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_43_18"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_43_18"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_43_18"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_43_18"
"Flow","TestCase1","Groovy Script","groovy","OK","","Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_44_20"
"Flow","TestCase1","CreateBooking","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_44_20"
"Flow","TestCase1","Auth","restrequest","OK","","[HTTP/1.1 200 OK]","22-Jul-2024 13_44_20"
